ano,populacao,ppl_por_vaga,serie,populacao_lag1,crescimento_absoluto,crescimento_pct,media_movel_3anos
2007,366359,1.5,nacional,,,,
2008,394488,1.5,nacional,366359.0,28129.0,7.67798798446333,366359.0
2009,417112,1.5,nacional,394488.0,22624.0,5.735028695422928,380423.5
2010,445705,1.6,nacional,417112.0,28593.0,6.854993383072183,392653.0
2011,471254,1.6,nacional,445705.0,25549.0,5.732266858123647,419101.6666666667
2012,548003,1.8,nacional,471254.0,76749.0,16.28612170931174,444690.3333333333
2013,537790,1.7,nacional,548003.0,-10213.0,-1.8636759287814164,488320.6666666667
2014,584758,1.6,nacional,537790.0,46968.0,8.733520519161765,519015.6666666667
2015,663385,1.8,nacional,584758.0,78627.0,13.4460751285147,556850.3333333334
2016,702385,1.6,nacional,663385.0,39000.0,5.878939077609524,595311.0
2017,704576,1.6,nacional,702385.0,2191.0,0.3119371854467312,650176.0
2018,725332,1.6,nacional,704576.0,20756.0,2.945885184848751,690115.3333333334
2019,748009,1.7,nacional,725332.0,22677.0,3.126430379467604,710764.3333333334
2022,195194,,sp,,,,
2023,197071,,sp,195194.0,1877.0,0.961607426457789,195194.0
2024,205210,,sp,197071.0,8139.0,4.129983609967991,196132.5
2025,221252,,sp,205210.0,16042.0,7.817357828565852,199158.33333333334
